Offer,Description,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Classic NCMC Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank VISA Classic PayWave Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank Mastercard Classic Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Classic Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank VISA Women's PayWave Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Women's Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank VISA Being Me PayWave Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank VISA Kids PayWave Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Kids Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Mudra Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Kisan Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay PMJDY Card,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS Signature Visa Debit Card,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS EaseMyTrip Green (Visa Signature).,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS Visa Infinite Debit Card (Treasures),,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS Visa Business Debit Card,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS Visa Platinum,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS Visa Classic,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS BigBasket Visa Classic,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS RuPay Platinum,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,DBS RuPay Classic,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.100 off,"Get Flat Rs.Rs.100 off using DBS Bank Debit cards on order above Rs.Rs.999. This voucher can only be applied 4 times per customer. This voucher can only be applied 4 times for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",DBSDC,,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.600. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.600 to get a 10% instant discount up to Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",CB100DC,,Central Bank Rupay Select Wellness Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.600. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.600 to get a 10% instant discount up to Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",CB100DC,,Central Bank Rupay Platinum Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.600. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.600 to get a 10% instant discount up to Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",CB100DC,,Central Bank Rupay Classic Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.600. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.600 to get a 10% instant discount up to Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",CB100DC,,Central Bank Business Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.600. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.600 to get a 10% instant discount up to Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",CB100DC,,Central Bank Visa Platinum Card,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IndiGo IDFC FIRST Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC Bank First Millennia Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Power Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Select Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Classic Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Earn RuPay Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Power+ Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First SWYP Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Wealth Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC Mayura Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Private Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Ashva Credit Card,,,,,,,,,,,,,,,,,,,,,,
Flat Rs.Rs.80 off,"Get Flat Rs.Rs.80 off using IDFC FIRST Credit cards on orders above Rs.Rs.999. This voucher can only be applied once per customer. This voucher can only be applied once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Fri Dec 05 2025, 11:59 PM.",IDFCCC,IDFC First Wow Credit Card,,,,,,,,,,,,,,,,,,,,,,
10% Off upto 100,Get up to 10% off using BOBCARD Credit cards on orders above 600 (max discount 100).,BOBCNOW,"HPCL BoB ENERGIE
IRCTC Bobcard
BOB Assure Credit Card
Snapdeal Bobcard
Bobcard Cashback Credit Card
Bank of Baroda ETERNA Credit card
Bank of Baroda Premier Credit Card
Bank of Baroda EASY Credit Card
Bobcard Select
Prime Bobcard
CMA One Bobcard
Indian Navy Varunah Premium Bobcard
Eterna Bobcard
ICSI Diamond Bobcard
Assam Rifles The Sentinel Bobcard
ICAI Exclusive Bobcard
Indian Army Yoddha Bobcard
Swavlamban Bobcard
Unnati Bobcard
Indian Coast Guard Rakshamah Bank of Baroda",,,,,,,,,,,,,,,,,,,,,,
10% Off upto 100,Get up to 10% off using IDBI Credit cards on orders above 599 (max discount 100).,IDBICC,"IDBI Aspire Platinum
IDBI Royale Signature Credit Card
IDBI Imperium Platinum
IDBI Aspire Platinum",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
