,Eligible Credit Cards,Credit Card Image,Grocery Benefits
27,Karnataka Bank SimplySAVE SBI Card,wix:image://v1/f836e8_efb04e41613148ec961c4ec98a6ffa71~mv2.webp/Karnataka%20Bank%20SBI%20SImplysave%20Card.webp#originWidth=190&originHeight=121,Cashback rate on departmentals stores and grocery: 1.66%
28,RBL Bank VCard,wix:image://v1/2a565f_f1fb8722d3fe4ab9be6451ccfcf38154~mv2.webp/rbl-bank-vcard.webp#originWidth=170&originHeight=107,Cashback rate for grocery shopping done on Wednesday: 5%.
29,Axis Bank Rewards Credit Card,wix:image://v1/f836e8_f117a8c035d64a5b9e903dcee6de5743~mv2.webp/Axis%20Bank%20Rewrads%20Credit%20Card.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 3.2% (subject to a cap of 1008 points per month).
30,HSBC Live+ Credit Card,wix:image://v1/2a565f_d9f9ca0862894652b46762b846b2ce4d~mv2.webp/HSBC-Cashback-Credit-Card.webp#originWidth=500&originHeight=317,"Grocery and deparmental cashback rate: 10% (capped at up to INR1,000 per billing cycle)."
31,6E Rewards XL - IndiGo HDFC Bank Credit Card,wix:image://v1/2a565f_41a8e745e6e24f68aadf0155382a9f24~mv2.webp/Indigo-6ERewardsXL.webp#originWidth=264&originHeight=167,Departmental stores and grocery cashback rate: 3%
32,Bandhan Bank One Credit Card,wix:image://v1/2a565f_df79e5abae1c440d9e1cdde21ba0b665~mv2.webp/SC1.webp#originWidth=340&originHeight=216,Departmental stores and grocery cashback rate: 1%
33,SimplySave Advantage SBI Card,wix:image://v1/f836e8_e061ac0a55ca417b8824362700313b9e~mv2.webp/SimplySave%20Advantage%20SBI%20Card%20(1).webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 1.6%
34,UCO Bank SBI Card Prime,wix:image://v1/f836e8_a1d7f925afb74615be720f4713ff343b~mv2.webp/UCO%20SBI%20Card%20Prime.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 2.5%
35,CUB - SBI Simply SAVE Card,wix:image://v1/2a565f_ce77ff24a9f344b4992fd302fbe79de9~mv2.webp/simplysave-card-face.webp#originWidth=349&originHeight=218,Departmental stores and grocery cashback rate: 1.66%
36,HDFC Bank UPI RuPay Biz Credit Card,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxAPDxAPDxAPDxAPEA8QDxAPFxAVFRUPFRUWFhUVFxUYHSggGBomHRUXITEhJSkvLi4uFx8zODMtNygtLisBCgoKDg0OFxAQGy0lHyArKy0vLS0tLS0tKy8tLS0tKy0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tKystLS0tLS0tLf/AABEIAKcBCAMBEQACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAAAQIFAwQGCAf/xABKEAABAwIDAQkOBQEGBQUAAAABAAIDBBEFEiExBgcTQVFUkbPRFBYXIjI1U2FxcnSBotIIFSNCoZMzYrHB4fAkQ1JVgiU0Y3Oy/8QAGgEAAwEBAQEAAAAAAAAAAAAAAAECAwQFBv/EADIRAAICAQMDAgQEBgMBAAAAAAABAgMRBBIhMUFREzIFFCJxYYGhsSMzQlLh8JHB0RX/2gAMAwEAAhEDEQA/APtdbVxwRPmlcGRxMc+R7tga0XJQB5/3W78lbPI5lARSQAkNdla6V45XFwIb7Bs5StVBdxHMeETGP+4VHS3sT2oA8ImMf9wqOlvYntQB4RMY5/UdLexG1AHhDxjn9R0t7EbUAeEPGOf1HS3sRtQB4Q8Y5/UdLexG1APwh4vz+o6W9iNqAPCHi/P6jpb2J7UMPCHi/P6jpb2I2oB+EPF+f1HS3sRtQB4QsX5/UdLexGxAPwhYvz+o6W9iNiGMb4WL8/qOlvYnsiA/CFi/P6jpb2I2R8AHhBxfn9R0t7EbI+B4Dwg4vz+o6W9ieyPgrAeEHF+f1HS3sT2R8D2ofhBxfn9R0t7EbI+B7EHhAxfn9R0t7EbI+B7EPwgYvz+o6W9iNkfA9iDwgYvz+o6W9iNkfAbELwg4vz+o6W9ieyPgWxC8IOL8/qOlvYj04+BbULwhYvz+o6W9iPTj4J2oPCFi/P6jpb2I9OPgWA8IWL8/qOlvYj04+BYDwhYvz+o6W9iWyPgQeELF+f1HS3sS2R8EgN8LF+f1HS3sS2RGdluI346hkrIcTLZoXEN7oa0NfHfjcGizm8ul+PXYolX4A+6seHAOaQQQCCNQQdhBWIHzrf6rXRYQGNNhPVQxPtxsDXyW6Ywqh1EzzitRGxT0E0ozRwyyNBsSxjnC/JcDbqEwMv5PVc2qP6cnYlkYfk9Vzao/pydieQH+UVXNqj+nJ2IyAfk9Vzao/pydiMgH5PVc2qP6cnYjIB+T1XNqj+nJ2J5Af5RVc2qP6cnYjKAPyeq5tUf05OxGUMxVFFNEAZYpYwTYF7XNBPzCAMCYDCYxoAaBjTKSBBaRIBBWBgIyVgdkDwOyMhgVkBgCE8hgiQmTgiQgloSZLQkiWCCWCRIJCEUhnqLekrHTYLROebuaySK5/wCmOR7G/S0D5Lmn7gOe/EL5qg+Pi6mdEOomeelqI+ub0+Ed10lPG91ou78Q4QNkax5/4alLcoJu7VutgbLlvi5Tis+T1/h98aaLpbcy+nGVldXnPgvslLiNLUSUbZ4ZaMU8IM8sTGOBcRckkC9gdSeRVq9JKmKe79SvhPxZXX7ZwW1tt/Tl9O2M8HLbldz0lfDLKKoxGKanis9waC2QkE5iR4wtoONe5daq2ljsz5CqpzTefBdP3DjVgrZ+FdJXMiu27D3Mdc7s123HqKy+Z77Vjj9TX5ftu55/Qi/cUA+nj7sqM00Ymef0yBEIjI4NaJM5dsAu0A3OuiPmOG9q4/8AfsL5flLPX/fJR/lTX1tJTw1NUYazgi18zHxvaHuIOhNn2ttaSCtt+ISk0soy2ZnFJvDLqbcSe6qeJlZM6GWOqkllsHGNtOcrv7N7muN8osDcZhcA6LJaj6W3HlY/U1en+pJPjn9CWHbgZpXTsNU9j4K8Upaf3w2a4yNu7bkdny8gKUtVFYeOqyEdM3lZ6PBiq9xroqKStNXM9sYqLxMF3l0c5iafK0Zpdx4r8aa1GZqGPH7ZE6MQcs+f3wcNi0rnYe7M5zrVcFsxJt+lMp1aScfzNtC2935HLrkPQGEwJBIY0ykhgJlpEgEFpEgEikh2QWojTL2hZAbQsgNpebhgz80oRJlLDVQhwfbLq4Wvf1qZdGZ2R+lnf7mcEMPAx1dPwbpcfbwbJmAF8TYZblocPGZct12bFDfjwYSfjwY8Or6Oqr6CDNFWzskxB0s3csVO3gu5n5IiwDxyHNvcjRHKTE00mUG93PHDQYrO+XucsdhzWzthiqHMDnTAgMk0sbC6ufLQTXKLzH9ycNZVvdHC57u7cIjkNMMt6OeDNLO6NotHci5NrA3UqWF/yRkzz11Dh9LSMle005jxFppBTxSmpAnmZGTO7VhHi6+pLDbYjUi3GYdFDSuq4XxOklooHSNknLHmpicQ4Pc1rXFrixxyCw1BJT3vsI4bdthUVDUR0jB+rBTwircHFwdVOGd9uIABzW6chVxeVkRz6Yj0xvL+Y6T3qnr5FzWe4ZT/AIhfNUHx8XUzpQ6iZ56Woju9xO6eKjp4f1xDUQVdXM3OyR7SyaGCMeSD6N/8LnuqlOSlF9D0tDq6qa7K7YtqeOjx0yzo8a3wYKmHgBUQMjeyPhg2CUF0jTmzAhmguBoospsmsNnRo9bo9NZ6ka3nLxz2ZytNikUTCyPEQxjnskLWsqbF7DdjvI2gr2nqq28uJ8qtJYlhM3HbqXlj4zi78kpeZGhtUA4vN3Xs3jubqfWpznZ+xXy92MbjX/OmcMyo/MyJow1rJAypDmtaMoAOTZbRV8zXjbt4/IXytuc7uSVTjrZZ21MmJl87C0slLKnM3LqLeJpZJaitR2qPH5A9La5bnLkzzbqnvJc7F5CSwx3tVXyEgkDxdASBs5AkrqV/R+xT09z/AKiJ3TOJDjizswkbKHZam/CNZkDr5NuXxfYj1qv7f2F8vd/cRbuitsxQ+TKy2SptkldmkbbJqHHUp+vV/b/qD5a7+4p8Xq6fuTgYpxM91RHIcrJGgNayRu1wGt3hZX2qxrC6G+modWc9znVidRIIGSCBgmWkSAQWkTAQaJEkGkYjDUGqiTDEZL2lrhe5yrqjaCCR/rANulTuRE5wh1Zt4vuPqqQ5Z2hri3MADcH5hYT1KhJJnTpaFqa5TrfTt3Oecyx9i6U8nPKGHhmWStmc5rnSyuczyHFziW+w30TwZOCNjA4mPm/UmMAykiQODDc2B8Y+on2pMykjLJRQtMbGzEtkMxfaWKzgy/BA+jJIIu648YHlCeTNm6KOmFi2sfmLoYn2mYLRuy59SNWgG1hpp7QDL8EMrMTp4GR+JK6Rw4MMbnY4MzOlzt0HjWyN1Fgc9+MJrJJb4dBTRTRyGrbaCZ3BtkdFK0RNjJD7Fpbq7JZttLnaRcS84JZTbpHB8onM3DS1A4Wd2Zjv1XAOcfE0bqXDLxZeQhOPgkqUxHpneX8x0nvVPXyLls9wym/EL5qg+Pi6mdKPUTPPS1ECABMYIAEACABMBoAEDGgBpjGEAMIGSCCkMBM0SJgJFpGaGFzyGsaXE7A0ElBskdLQ7gsRlaX8BkAaXASlrHOAF/FYdT0KXNB69a4yWG5ncDJXQSPZMxkzL5YX3FyOU8Sbykn2InrIQs2YO0ZvcU/cjILxMxAWffPmvbaCLbPkoz3MPm57m30L+pgnbhroZ548PlaAGShzALDlsi3Z/SctTe7LWTksTrnYg6CgpquknETLyzSiRpzDblflIIWM4RtTXg9DR3T0Vitfd9Dhsawqz3hrmOcwkO4MhzTbjBCwpudb2TPpLaYauHrU/mjn3sXpJnjSjgxEJmMkRITMmjGQmQyJTM2JBDBIlggR6Y3l/MdL71T10i5LPcBT/iF81QfHxdTOlHqJnnpaiBAAgATAEDBAAmA0ACBjTAEDJIAYQUSCCkZIxcgHQIb4NoJNpMvTh8EbA97i6405F5y1Fs5bYrB9I9BpqKt823lcH0Ghme+giOH5KWSFwZW8AxnCuhP/ADA4glep6SUkn3PjZ253PwXkuH4ZRtZVCse6rsHRyVEpe91/25eT5LJNRn9aJmrLa8QFXvMIixKmaYw8/rR2sM52m3IV0w281P8AI55KUmp9zoMKwmjqZ24pHnEr2gODXWbmG245VzycoZgb53JGtuz3HUdY4VdUZwIIyXthJOZo18mx/hZZwawnJcI5zevwCACqlY6OamkL2tZLH+qI9mp4vktG1tXHULZS34b6GJ+AYVUUtQMOeYZoHOPCSlwBI2t8bS3Fey55QjJZa4O/T66/T2KOeqPk9QwhxB1IJvblXRHGODvlzyazwtEYSRiKDGSIFNGTIFUQyKDNgkSxIJPTO8v5jpPeqevkXLZ7mBT/AIhfNUHx8XUzqY9RM89rQQkwBAAmAIGCABMBoAEDGEANMY0DJBAyQQWibUGqLvDJRLGYX7f2lcGoi65qyP5n0Xw+1aip6ef5HUYNiT6GZkzRmaBlkZxPYRqF7ScbaU14Pira5U6iVcvJlo90Zqakx4Vh1PHPISRJNaR+nGC85WfJeZJykz0VXCEfqfBv49uXxNrWVFbWslkLxamznj00bo0n1BFXE02LfCScYo7/AAunOH4c+VkBEwZndFJJ5TgOXYNOKy1unl9TkgtzwzBHUVuJYZIQ2SgqXC8fECNoF3C9jyrKUcpcmicYWeUcPR7pcVBZhdFFEJ2tOd5DQ6/GdSG/MrWcMJYKWzLlPyaNThMDM0eI13C1D5eEkgoW8JIX8bSQA1pRuWzbgfO/fHjjBvV+5anlphJBTTU0sQOeGcnhHR8TyOX2Lm1CthBTj0PU+F6yqd8qbnnPRnznEKUxusdnEt6LVZHKOrV6eVM8M0Sug8+RByEYsxlUQyKDNgkQxIJPTO8v5jpPeqevkXLb7mBT/iF81QfHxdTOpj1Ezz2tBAgBJgCAOqw/e+xCdjZGMjAcLgPcA63rC43r6U2uWbejLBkk3uq9uhNNfTThWcexHz9X4h6MjBNuErmAktiNhewfqfUNE1rqvxD0ZHNPaQSCCCCQQdoI2hdieVlGYkwGmBKNhcbNBcbE2AJNgLk9AJSGCYyTUDJhBaJNQaozQyFpDhoRsUyipLDOqicoSUo9TpMNrDNE8O8pgJ/8bLp0qjGDgjzPi2+V8bn34Zvb3dfSUfCVtVHLI5rg2ARn93HpcLls/hx3FNO6fpr7l3j9bV43PBJDh74mwk2ncSPF2+M42aOlY0yUpZfY2lBUxxuzknHuZqK+XgqnFo5JgCY6aNxkAy7A61mt/lU0pMzdqhHiJ3lG0VFLLh88jonBhYJGktIA2G9xs5ORdeppUUprozxdBqpOcoS6ps56PcWygayupah9Q+MZXv8AFsRyi2z16lGnnFva+h065zlHK6p5LGOWCmecWjaA2cZKxrQCWvH7h6yh1JboPquUR6057Guj4ZjOMVGIzRy0tHJDFHf/AImosxr2Ha2x2hYVWdYyXDOyyhRxNS+pHFbu6ClM7mQSxSEjMWxuDsj+MLz3GWnnuXtZ9dob1r6PTn749GfPZ4y1xadCF6cJKSyjyrq3CTizC5WcrMZVIzZAoM2CCWJIg9M7y/mOk96p6+RctvuYFP8AiF81QfHxdTOpj1Ezz2rECYCTAEAeh8HkcGMsWjxW2uDye1fJRfLPTaOhyh8EZHExo/gLqj0Mu5zNYxxF9NRfYe1BZ8Ixb/3E/wD90v8A+ivoKf5cfsjhn7mW9Nuaz0rKkSWBa4vaQNLOIFjfXZsXJLXqNzqa+x2z0E/lVqK2n1bT46eGR3Pbne6a+OhfJwZlEga9gDgHhjnMuL6C7RfkC7VPMco8ym6NsN0T6Dg1FT0jIqiCJrCwYNXNJ8Z/BVZNJVQOedXMNi4A8pSfJqfM90lE2nraunZ5MFTURN91kjmj+AtF0KNAJjJhBaJNQaomEG8C0wSQCSxPlNLelY3WTrjugd2n01Ookq7eha0EfBPiYP8AkuMv/kToqrkr9r7I8rW0y0krF3fC+x9JxqCKpmo66qke6iliDJYTI9sYlboXENIsNi0VS+peDzlc0oqK6md+I4YTHHhUbXTRuDgaaJ1i0bQXga9KWnklJp90GqqscFJ9mVu+g3hJaWEXj7qs6Y8bWt8q6vc5wVS8mVVcarZal+Cyg3T4Th1J3IyeSoGUtysGbaLGxtYdKlVT446GspKTbfc4yl3Y1FGxzKZjJDMcwEozBoGw2B29i6L3DClN4Ho9LOybhBZKfFsTr6y5rax7WejacrbclhofmvNerjnFUcs+lp+CbFu1ElFFZFUwQj9IFx5Ss5U3Wv8AiPB31ajSaZfwFl+SsrqkyuzEAexddNSrjhHl6vUO+e5mq5anCzGVRmyBTIYIIYkiD0zvL+Y6T3qnr5Fy2+5gU/4hfNUHx8XUzqY9RM89qxAmAkwBAH3PCa+B8bHCVpa5o1DyOLkuvkpQnGbTR6aaa4Omw7GocgY57PJaL54QL29bl0QyZyRUVtRTtZmMzNG3d+ps010voqSyPJ8GxGQPmle03a6WRzTyguJC+hqTUIp+EcUnlsbcQmDWsEjw1lwxoOgve9vXqdUelDc5Y5YWSdkFXN5iu3YKGvlgk4WGR0cmV7c7TrZ7S12vrDiPmtMCR2uB7uoy6NtZHlYJaR8joRoaeiiPc1O2PiBk1Lr/ALtihx8DOLr6t080s7/Lmkklf7z3Fx/kqxmEJjRkCC0SCRqiaZtBmaF9iCOJTJZWDqrlteUdNFIHMDxt41yaWXpWuD7nX8WpWq00bo9Vwyzpt2ssUHcrYKeaNri4GobnFz/d2L1XUpPLZ8lH6eEQfupxGRuRkvAR8TIGsiaPZlF1jOzT1dWdlGg1eof0Rf3NAulHCSSSOkkc3K1znFxAO3UqdNqlbbiMeDb4l8KlpdOpWTWc9CqmFrDjcbLvs+lYPH02bJfYzvc4OuDYgWHsUzojZHEkbU66entcqnh9DTqGF2riT7VMaYwWIrBpPWW3PM5Nmm8W0XM3lnswjtgkYXIIkY3JowZApkMgmZsEEsSRB6Z3l/MdJ71T18i5bfcwKf8AEL5qg+Pi6mdTHqJnntWIEACYCTAEDBMAQIEDGmAIGNAxhAEgmUTCCkSCRqiYTNIsmwoOmLL3D5wBkdsIXLdROzE4dUdek1tVLlVc/pkbMbo2+S2/rWq0mpu98sI5p/Fvhuk/k17n5ZCsqXWyt0c7QW/xWy+H019eWcf/AN3V6uTSe2K8G1HBZrQdbDj5eNelVWoR4R87rdU7bHl5wV8EXCzOd+1mgWKW+w7E/ltNufVm5JTrqPJUjRqm5QT/ALusb3iJ6Hw+LsuS8clM8rz0fTyZjKZhJmNyaMWQKZDIpkMEiGJBJ6Z3l/MdJ71T18i5bfcwKf8AEL5qg+Pi6mdTHqJnnpWIaABMAQAkxgmAIECBjTAEDGgY0AMJjJtQUiYQaRJBBojNA27gjDfCN4zUVl9iziC76obUkeBqrnOTkzfgYALnYNSt+h5zy2Y8JHDSPkPktNm/LYsoLdLJ322LT0bV1ZYYq/g47Dy5Dlb/AJla2PCwcGipdtq8Iz4fQ5IwLanUpVQwjT4lqFO3YukSckK1wcCkc9jcmuUfttm9q4dS88LsfRfB+G2+5SuK5T2pMiUGLZjcVSM2QKCGJBDBBLEgk9M7y/mOk96p6+RctvuYFP8AiF81QfHxdTOpiB56VkjQAJgCAEmAJgCBggAQA0xjQMaAGExk2oKRMNQaqPcysAP+vKhm0cMz07CDqtql3ObUtpbS0p2rsizx7ULFpyGCNvlP2+xKb7Bpq8ve+iLzCKQRRBvHa7j6+NbQW1Hn6m12zbMETe6KscbIhf5qV9cj0Ny0dGf6n+50BjW+DwNzbyzUrXBjHOOwC6mTwsm9Sc5KKOJLi/hHHafG/hedzJSbPp6Eq5wS6dDTI9Vlgeq+TE5MyZjKZmyKDNiQSwQSJAj0zvL+Y6T3qnr5Fy2+5gU/4hfNUHx8XUzqYgeelQhpiBAAmAkwBAAmAIGCAGmMEANAyQTGSCBmSLbtsma19TYs2+t2/wCapYOjjJtQNVRmZX1ssYdFvGZ5llLbwToIM8hkdsHkq48vLJ1S9Ov00WNbUElkDPLlIB9TOMrWUuyPP09PO+XRFlhFIIg4nynuJd/kFpWsI5Nbc7Z/gixc4LQ4cHLbpK0OPBNPk3L/AG8QXLdPLwux7vw3TOK3y79CmgZYn2D/AAWMFnJ6klhxf4/9mtUQbSXW9R/0XPg9ace7NFwQczMZTM2RSIYIJYIJEkI9M7yx/wDQ6X3qnrpFzWe4ZT/iF81QfHxdTOpiB56VCGgATECYAgBJgCABMYIAaABMYwgYwmBMIKJBUaRNunaSOVvr5VLOqqLf2LCNo/0WKk49TvnXGa4NpjbhdVUs8nB8viWWbkDg0eoLaMzyb6nOWRYXd0zpjyZWrWL5yYaqCrrVaL6OZbqR406zDiVeIoyf3HRo9aU7NqNNLo3bZjsupyli466k6n2rlbxFs+nhX9aiuyNl1M4WNjYi4KzhaksnbHQ2SUeCtraVzT4wN9vyWSZtbU49TQeFRySRhcEzFoikZsEiGCCQQB6Z3l/MdJ71T18i5bPcNFN+IXzVB8fF1M6UQPPSoQIAaYgQAJgCAEmAJjBAAgBpjGgBpjJsCCkZGgDafkFRtHC6m0ypFg22W3G3afbypNHTC1Yx0NyklB0Av/JSccnZVYuxZNnbls0bdpUYaWEdcpQlBpLqZGR5hqcoVwk1yzjWiTzJ8JGaBwaLDYto2HiaihttmyJ7C5W6swedPTNvCRVSufUyeKLhoNh6li7Nzye7o/h7hHbFc9WThiyE5wLniKU3lYPT01Cqbdi5ZGeutpqPUstp0WaxrjoaTqpwJ2HMLa66JpHDO5owsga88hPQrRkoqb8E8QwcxWu5jrgHxCDt9iE8it0+1ZyVErLJnHKJiUswkCRAJCPTO8v5jpPeqevkXNZ7hopvxC+aoPj4upnSiM89KhAgATENAAmAIASYAgATGCAGgATGSCYzNGwnZ0qsGsINm1DRPkIaxpc7kaNvyT6HSqnLhIRp8vlaW2hMfpbepJlRk8n2f75VOBqzb0NmkeT4ziGgW047eoJ8Gtc5Plmw6qLjlbfU6E+UfYEcGkrXLhf5Jx11jY6+obR7VGzujOTT4ZOoqw4WHzHH0ISk+ooQhB7lywgrAwH9oFrjY4rVcdDpjqHD/eQmxG+bLaRpFgHeUEMU9S5dOUZ9yGDHE62Oka8xh4e57iM2RrWk3tcX1AHzUTe1ZOKy7CydLi29zGaV9TQVvdr45xT8EIiwvlzNaWtJdqRmvstYHVQrecNGTuy/qRy2H7lK+WTIIXtY2qZRyyG1o5nOa0tOupGcXstN6E7MHY4nvYxhlaKbE+HqKCPPNBwJBuWF7WZg46kA2sDqoV3TKI9eRxtVuDxZjGPkopmte5jGnxL53kNaC0G7bkga21Kr1I+SXZk0e9Wt/UvTvaIJmQTOdYNZK4gBpN9vjDZyqLLYwi5PssihB2TUI9WVVVTPidkeLOsDb2pwmprMehgnlteG0/ujEqGemN5fzHSe9U9fIuaz3FFP+IXzVB8fF1M6UQPPSoQIAEACYhoAEwEmAIAEwBAwQAwgaJtICZSwiXCKkyvUZmhq3N8lxHsTyjaN7XQT5ydpVZE7sjidxcfLyKWwjPPBE7dT0I3Cbw+WPhjxG3+KaQ/UfYO6HcvzT4D1GNtQ4ceo2FA1Y0DqhxJLjmvtugPVfcWa/km3qPajItyfQ7ne23TQYea2once6u5eCo2hjnZnG7jmIFgLtj1PKVnYt2MEzcp4TO2w/fIoZPyyStmLpoBO+d7I5A1kzmFjfFaLHRzhcXsR61k4PnBDg+cGLDN3OD0/c0baiZ7GVNXW1EkkUmZ9Q/MGXAH/AMhcOTgxfVNxkyWyiw/fQdWVjY8RkbTYcZHvkFOyRr3ZbmIPewl9rht8u23Im68LjqSdLSbpYKw09Jhdp5XYnTVVXwUL4R3HDK053F5JeRliFybnkGwTjHLAqd8DdNAcQ7kic1tPRvlnqCD/AGte/wAU+3ICR6rHkC5dXCc6tsesv2OzRWQpm7p9IpvHdvokvxPl+P4mKmUva0NAuAeM+1dGlo9GtRycLcrLZ3SWHN5wui/z5fdlYukZ6Z3l/MdJ71T18i5rPcMp/wAQ3mqD4+LqZ1MQPPSsQIAEANMAQIEACYCTAEwBAAgYwmMkkV1FZMWBhMEZIy0EFwzf3f8AVLJSwnyDpb7NByJjc/BG6ZIXRkBphkEBkEZDIJhkkyQhJlKbRMPab7R6hsukVuj9i63IYayolmzR90PippJYKa7hw8wcxoZ4pDnWDnPytNzkslJmbR0tJhEDqSV1RSRR1j21j20zWzMc1sYigjy3f4hErnPcHA3DSLKW3kksqnCe5p60UVHKXUtPkia2KqjMr3Txx5y5st5Y8rJXZvFGxLOcZA0xhNCyppgIYJG1FXadpdI9kcUFNE+rbG4PuQJJJACSf7PjRl4A+eV9SJZHPbFHCDa0cWYNAHJmJP8AK0QGsgD0zvL+Y6T3qnr5Fz2e4DQ3+6J0uEZ2i4p6qGZ9uJmV8d+mQKUB5xViBAAgAQA0xAgAQAkwBMATGCABADQAwUykyWbSyQ89iIVEjQMEANABdABdADumAkACAGgQroGO6AEgQIAEACAPUW9LRuhwWia8Wc5kktj/ANMkj3s+lwPzXPP3AdTW0kc8T4ZWh8crHMkY7YWuFiFAHn7djvPVlM98lDlqaa5IDnMZIxvI7MQHW5QdeQKkwOMO5Ou9B9cP3KsiDvTrvQfXD9yMgHenXeg+uH7kAHenXeg+uH7kZAO9Su9B9cP3IyIO9Su9B9cP3J5GHepXeg+uH7kZAO9Ou9B9cP3J5AO9Ou9B9cP3IygF3p13oPrh+5PKAfenXeg+uH7kZQB3p13oPrh+5GUAd6dd6D64fuT3IB96ld6D64fuRuQw70670H1w/cjKAO9Su9B9cP3I3IA71K70H1w/cjcgDvUrvQfXD9yNyAfepXeg+uH7k9yAO9Su9B9cP3I3IA71K30H1w/cjchh3q13oPrh+5G5APvVrvQfXD9yNyELvUrvQfXD9yNyAfepXeg+uH7kbkAd6ld6D64fuT3IBd6ld6D64fuRuQD71K70H1w/cjcgG3cnXE2EGp/vw/cjcgO/3D7zs8kjJ8TyxQtId3O1zXPk4wHOaSGtPqJPs2rOVngD7qxoaA0AAAAADQADYAFiB//Z",Departmental stores and grocery cashback rate: 3%
37,HDFC Bank MoneyBack Plus RuPay Credit Card,https://www.rupay.co.in/images/rupay/rupay-credit-card-digital-onboarding/HDFC-MoneyBack.png,Cashback rate on BigBasket and Reliance Smart Bazaar: 2.5%
39,Indian Army YODDHA,https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fhejl2qgw%2Findian-army-card-rupay.png&w=640&q=75,Departmental stores and grocery cashback rate: 2.5%
40,HPCL BoB ENERGIE,wix:image://v1/2a565f_f4955e35fd4846cab0a95aae7a5ac9bd~mv2.webp/HPCL-Bank-of-Baroda-ENERGIE-Credit-Card.webp#originWidth=500&originHeight=317,Departmental stores and grocery cashback rate: 1.67%
41,Tata Card Select,wix:image://v1/2a565f_047ab264ceee46d0850d6f027f64e56b~mv2.webp/tata-platinum-card.webp#originWidth=349&originHeight=218,Departmental stores and grocery cashback rate: 3%
43,RBL Bank Platinum ShopDaily Visa Credit Card,wix:image://v1/45c85e_ed08ed330b334bb8883aeaa27d550e51~mv2.png/Screenshot%202025-03-19%20122841.png#originWidth=646&originHeight=477,Users will get 5% cashback on Grocery spending of up to INR 250 per month.
44,Indian Oil Kotak Credit Card,wix:image://v1/2a565f_c68d9ed0526147599b614017e33204ed~mv2.webp/IndianOil-Kotak-Credit-Card-image.webp#originWidth=244&originHeight=158,Departmental stores and grocery cashback rate: 2%
45,Tata Platinum Card Select,wix:image://v1/f836e8_610fe482a1854fd989b49fab8e45e3ca~mv2.webp/Tata%20Card%20Select.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 3%
46,6E Rewards - IndiGo HDFC Bank Credit Card,wix:image://v1/2a565f_b7189aaff2cc416e871b50a6514b7bc9~mv2.webp/Indigo-6ERewards.webp#originWidth=264&originHeight=167,Departmental stores and grocery cashback rate: 2%
47,ICICI Parakram Select Credit Card,wix:image://v1/f836e8_c9cab21947ea4cfca8033b83f33e5a88~mv2.webp/ICICI%20Prakram%20Credit%20Card.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 2.5%
48,BankBazaar SaveMax Credit Card,wix:image://v1/2a565f_93f3e4534b164e19b52c758ec98c8202~mv2.webp/RBL-Bankbazaar-SaveMax.webp#originWidth=270&originHeight=170,Departmental stores and grocery cashback rate: 2.5%
49,Karnataka Bank SBI Card Prime,wix:image://v1/f836e8_95ffe21f7a6d44ee863ce41ab8d5df33~mv2.webp/Karnataka%20SBI%20Card%20Prime.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 2.5%
50,City Union Bank SBI Card Prime,wix:image://v1/f836e8_81e6e605a4f8468fa2bec9a45020c79e~mv2.webp/City%20Union%20Bank%20SBI%20Card%20Prime.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 2.5%
51,SBI Card Elite,wix:image://v1/f836e8_bbc6260e32164f14b72e74fe3cf2756b~mv2.webp/SBI%20Card%20Elite.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 2.5%
52,Yes Prosperity Cashback Credit Card,wix:image://v1/f836e8_5ce4731fe1574daa87e9508f3e5e2bd9~mv2.webp/Yes%20Prosperity%20Cashback%20Credit%20Card.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 5%
53,ICICI Parakram Credit Card,wix:image://v1/f836e8_c9cab21947ea4cfca8033b83f33e5a88~mv2.webp/ICICI%20Prakram%20Credit%20Card.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 1.25%
54,Karur Vysya Bank SBI Platinum Credit Card,wix:image://v1/f836e8_d61f643302bd4cf2b776e1539da50cc4~mv2.webp/Karur%20Vyasa%20Bank%20SBI%20SImplysave%20Card.webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 1.25%
55,Yes Prosperity Cashback Plus Credit Card,wix:image://v1/f836e8_8823fa55498647a095553f15de7b0b86~mv2.webp/Yes%20Prosperity%20Cashback%20Plus%20Credit%20Card%20(1)%20(1).webp#originWidth=190&originHeight=121,Departmental stores and grocery cashback rate: 5%
